ID,Project Code,PO / SO #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Lead Time (Days)
1,100-CI-T01,SCMS-4,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-06-02,2006-06-02,2-Jun-06,HRDT,HIV test,RANBAXY Fine Chemicals LTD.,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests","HIV, Reveal G3 Rapid HIV-1 Antibody Test",Reveal,,Test kit,30,19,551.0,29.0,0.97,Ranbaxy Fine Chemicals LTD,Yes,13.0,780.34,,
3,108-VN-T01,SCMS-13,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-11-14,2006-11-14,14-Nov-06,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,1000,6200.0,6.2,0.03,"Aurobindo Unit III, India",Yes,358.0,4521.5,,
4,100-CI-T01,SCMS-20,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,,2006-08-27,2006-08-27,27-Aug-06,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,500,40000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,171.0,1653.78,,
15,108-VN-T01,SCMS-78,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-09-01,2006-09-01,1-Sep-06,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,31920,127360.8,3.99,0.07,"Ranbaxy, Paonta Shahib, India",Yes,1855.0,16007.06,,
16,108-VN-T01,SCMS-81,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-08-11,2006-08-11,11-Aug-06,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,38000,121600.0,3.2,0.05,"Aurobindo Unit III, India",Yes,7590.0,45450.08,,
23,112-NG-T01,SCMS-87,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-09-28,2006-09-28,28-Sep-06,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,416,2225.6,5.35,0.02,"Aurobindo Unit III, India",Yes,504.0,5920.42,,
44,110-ZM-T01,SCMS-139,Zambia,PMO - US,Direct Drop,DDU,Air,Pre-PQ Process,,2007-01-08,2007-01-08,8-Jan-07,ARV,Pediatric,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Efavirenz,Stocrin/Sustiva,200mg,Capsule,90,135,4374.0,32.4,0.36,MSD South Granville Australia,Yes,328.0,,,
45,109-TZ-T01,SCMS-140,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-11-24,2006-11-24,24-Nov-06,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,16667,60834.55,3.65,0.06,"Aurobindo Unit III, India",Yes,1478.0,6212.41,,
46,112-NG-T01,SCMS-156,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,,2006-12-07,2006-12-07,7-Dec-06,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,273,532.35,1.95,0.03,"Aurobindo Unit III, India",No,,,,
47,110-ZM-T01,SCMS-165,Zambia,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,2006-11-13,2007-01-30,2007-01-30,30-Jan-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,2800,115080.0,41.1,0.34,ABBVIE (Abbott) St. P'burg USA,Yes,643.0,,,78.0
